Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-1.046495373,0.882016369,0.996831744,0.256827646,-0.333087028,0.096977075,1.058135623,-0.380728306,-0.179510891,-0.529443296
1,0.781723593,1.735236031,-0.701633698,0.007888841,0.518956949,-0.293840917,-3.294811955,-0.289180539,-1.542487901,-0.180329686
1,-0.837486033,1.169517297,0.927002166,-0.132392212,-0.125543594,-0.15027462,-0.522996241,-0.177047021,-0.776989297,0.378687707
0,-1.427295408,-0.456001777,1.346849966,-0.669376071,0.382523365,1.919468972,1.272717581,-0.542624037,0.730339738,0.207029127
0,-0.510016815,0.525287427,0.716758499,0.506405947,-0.433926883,1.862144331,0.523007535,-0.610479428,0.425907541,-0.663530247
1,-0.051270128,-0.339835025,-1.071230844,0.16358073,0.249774273,-0.356069819,0.216537298,0.922253069,-0.703925262,-0.363537972
0,1.571491925,-0.155025741,-1.089219541,0.006975591,0.857476572,-0.850541141,0.49699398,0.40682615,-0.697959302,-0.23945672
0,-0.621528175,0.497187295,0.61729214,0.724036475,-0.401070069,-0.075206588,1.578222201,-0.118385851,1.017166877,-0.696279912
0,-0.72586248,0.478431403,0.778564573,0.007328101,0.367393001,0.426933361,-0.625912556,-0.346658644,0.100214882,0.916152944
1,0.768298717,0.752450502,-0.463908758,-0.541202409,-0.438935008,-0.604442849,0.040498352,0.054113134,-0.03209566,-0.946718434
1,-0.438489245,0.6739524,-0.035116704,0.419140882,-0.688346038,-0.178652862,1.130645601,0.904301195,-0.28478678,-0.213352231
0,-1.009782269,1.32500491,0.78718401,-0.426676884,0.00953896,0.256069694,-0.049134558,0.001952078,-0.347469885,1.512422874
0,-0.519371727,-0.355218547,0.474553622,0.477388101,0.353321108,0.069195893,0.467127636,-1.031190548,0.297697025,-0.479419017
0,-0.829185124,0.103837788,0.775864751,-0.101453269,-0.515853444,-0.240370394,1.395032792,-0.207358684,0.362793643,-1.152815752
1,1.799028064,-0.837889316,-1.528778837,-0.251389688,1.893750048,-1.326997852,-0.936401458,3.085684519,0.805594399,0.09175333
1,1.182245271,-0.094285485,-0.936486318,-0.484007359,0.242769987,-0.67517907,-0.26738432,-0.672345815,-0.757767045,-1.034271654
0,1.755709205,-0.417259575,-1.388592912,-0.528131345,4.630047557,-0.15988156,-0.750377643,2.81437148,0.382170851,-0.686069562
0,-0.758430744,0.61124055,0.915636378,-0.191192202,-0.343635758,-0.284927617,-0.502552918,-0.192099598,-0.24743277,0.148261463
0,-1.466315954,0.396268971,1.378172547,0.214142183,-0.206150607,-0.103606174,-1.320060168,-0.457263831,-0.254596555,-0.312214925
0,-0.828896098,-1.193489667,0.682020265,-0.327795068,-1.067974798,0.546144899,0.444468648,-2.397848104,1.979480455,-1.344838911
0,0.009479985,-0.714530572,0.009840527,-0.012901488,-0.188561013,0.016087183,1.36264023,-0.047448789,-0.586689077,0.778788827
0,-0.668084305,0.223281196,0.914747165,0.191496675,-0.39656338,0.253187415,-0.834598164,-0.282262819,0.250403655,-0.874777708
0,-0.00946397,-0.380184504,-0.620792268,0.262274534,-0.045443039,1.176675251,-0.723277332,1.173658209,0.080110873,-0.70719121
0,-0.140160036,-1.416112958,0.123481293,0.043693272,-0.684754281,0.643379022,0.590193929,0.069005504,0.254677974,-0.105935598
0,1.393451588,0.201928559,-1.266867671,-0.297192943,-0.330738527,-0.932596709,-0.556186182,-0.094515883,-0.926435472,-0.144762004
0,-1.056110258,0.291084628,0.956977793,-0.09230837,-0.344594954,2.281579094,-0.291186858,-0.22495903,0.202901547,-0.653195454
0,1.305879085,0.413806976,-0.9776964,-0.578945842,-0.183865056,-1.28403551,0.257025446,-0.256299752,-0.499404403,-0.862918244
0,-0.306969661,0.773292467,0.565986534,0.722149025,-0.162621188,0.234508253,-0.765727144,0.092129515,0.133090177,-0.133293416
1,0.506907678,0.890070581,-0.18172337,0.226952825,-0.157487219,-0.152300104,-0.353547473,-0.397801969,-0.436912652,-0.209843195
0,-0.832587595,1.378557182,0.91158577,0.372204194,-0.696456659,1.531219021,-0.490731611,0.014800974,0.451532181,-1.631837165
1,-0.189734766,1.425100607,-0.512435611,0.386186639,-0.717092991,-0.909043378,0.228022108,1.210583808,-0.8590758,-0.209277715
0,-0.471694877,0.216398512,0.404184464,-0.292520633,-1.073856208,0.831526442,0.142506446,0.430253969,-0.347179929,-1.484191552
1,1.42158383,-0.995578909,-1.244261769,0.576383796,1.273200537,-1.437101647,-0.076641041,2.807740252,-0.686669717,-0.344257213
